id,active,jersey,last_name,first_name,display_name,pro_team,position,height,weight,dob,college,fantasy_team_id
1,0,0,Baker,Matt,Matt Baker,BUF,QB,6-2,217,0000-00-00,North Carolina,1
2,0,2,Bartel,Richard,Richard Bartel,ARI,QB,6-4,230,1983-02-03,Tarleton State,1
3,0,14,Basanez,Brett,Brett Basanez,CHI,QB,6-1,208,0000-00-00,Northwestern,1
4,0,16,Batch,Charlie,Charlie Batch,PIT,QB,6-2,216,1974-12-05,Eastern Michigan,1
5,0,12,Beck,John,John Beck,HOU,QB,6-2,215,1981-08-21,Brigham Young,1
6,0,0,Berlin,Brock,Brock Berlin,DET,QB,6-1,215,0000-00-00,Miami (Fla.),1
7,0,7,Boller,Kyle,Kyle Boller,OAK,QB,6-3,220,0000-00-00,California,1
8,0,0,Bollinger,Brooks,Brooks Bollinger,DET,QB,6-1,205,0000-00-00,Wisconsin,1
9,0,4,Bouman,Todd,Todd Bouman,JAC,QB,6-2,236,1972-08-01,St. Cloud State,1
10,0,5,Brennan,Colt,Colt Brennan,OAK,QB,6-3,215,0000-00-00,Hawaii,1
11,0,0,Brink,Alex,Alex Brink,HOU,QB,6-2,208,0000-00-00,Washington State,1
12,0,4,Brohm,Brian,Brian Brohm,BUF,QB,6-3,223,0000-00-00,Louisville,1
13,0,8,Brunell,Mark,Mark Brunell,NYJ,QB,6-1,215,0000-00-00,Washington,1
14,0,10,Bulger,Marc,Marc Bulger,BAL,QB,6-3,208,0000-00-00,West Virginia,1
15,0,17,Campbell,Jason,Jason Campbell,CIN,QB,6-5,235,0000-00-00,Auburn,1
16,0,8,Carr,David,David Carr,NYG,QB,6-3,212,0000-00-00,Fresno State,1
17,0,5,Collins,Kerry,Kerry Collins,IND,QB,6-5,247,0000-00-00,Penn State,1
18,0,10,Collins,Todd,Todd Collins,CHI,QB,6-4,223,0000-00-00,Michigan,1
19,0,12,Croyle,Brodie,Brodie Croyle,ARI,QB,6-2,206,1983-02-06,Alabama,1
20,0,0,Culpepper,Daunte,Daunte Culpepper,DET,QB,6-4,260,0000-00-00,Central Florida,1
21,0,17,Delhomme,Jake,Jake Delhomme,HOU,QB,6-2,215,0000-00-00,Louisiana-Lafayette,1
22,0,6,Dixon,Dennis,Dennis Dixon,BUF,QB,6-3,215,0000-00-00,Oregon,1
23,0,5,Edwards,Trent,Trent Edwards,OAK,QB,6-4,230,0000-00-00,Stanford,1
24,0,4,Feeley,A.J.,A.J. Feeley,LAR,QB,6-3,216,0000-00-00,Oregon,1
25,0,0,Frerotte,Gus,Gus Frerotte,MIN,QB,6-3,233,0000-00-00,Tulsa,1
26,0,3,Frye,Charlie,Charlie Frye,OAK,QB,6-4,220,0000-00-00,Akron,1
27,0,0,Garcia,Jeff,Jeff Garcia,HOU,QB,6-1,205,0000-00-00,San Jose State,1
28,0,4,Garrard,David,David Garrard,NYJ,QB,6-1,236,0000-00-00,East Carolina,1
29,0,0,Gray,Quinn,Quinn Gray,KC,QB,6-3,254,0000-00-00,Florida A&M,1
30,0,0,Green,Trent,Trent Green,LAR,QB,6-3,208,0000-00-00,Indiana,1
31,0,0,Griese,Brian,Brian Griese,TB,QB,6-3,214,0000-00-00,Michigan,1
32,0,8,Grossman,Rex,Rex Grossman,ATL,QB,6-1,225,1980-08-23,Florida,1
33,0,0,Gutierrez,Matt,Matt Gutierrez,WAS,QB,6-4,230,1984-06-09,Idaho State,1
34,0,0,Hackney,Darrell,Darrell Hackney,DEN,QB,6-0,248,0000-00-00,Alabama-Birmingham,1
35,0,0,Hamdan,Gibran,Gibran Hamdan,BUF,QB,6-4,220,0000-00-00,Indiana,1
36,0,7,Hanie,Caleb,Caleb Hanie,DAL,QB,6-2,235,0000-00-00,Colorado State,1
37,0,0,Harrington,Joey,Joey Harrington,NO,QB,6-4,210,0000-00-00,Oregon,1
38,0,0,Henson,Drew,Drew Henson,DET,QB,6-4,235,0000-00-00,Michigan,1
39,0,0,Huard,Damon,Damon Huard,SF,QB,6-3,218,0000-00-00,Washington,1
40,0,0,Johnson,Brad,Brad Johnson,DAL,QB,6-5,235,0000-00-00,Florida State,1
41,0,3,Kitna,Jon,Jon Kitna,DAL,QB,6-2,220,0000-00-00,Central Washington,1
42,0,4,Kolb,Kevin,Kevin Kolb,BUF,QB,6-3,218,0000-00-00,Houston,1
43,0,4,Leftwich,Byron,Byron Leftwich,PIT,QB,6-5,250,1980-01-14,Marshall,1
44,0,7,Leinart,Matt,Matt Leinart,OAK,QB,6-5,225,1983-05-11,USC,1
45,0,0,Lemon,Cleo,Cleo Lemon,BAL,QB,6-2,215,0000-00-00,Arkansas State,1
46,0,7,Losman,J.P.,J.P. Losman,SEA,QB,6-2,217,0000-00-00,Tulane,1
47,0,0,Martin,Ingle,Ingle Martin,KC,QB,6-2,220,0000-00-00,Furman,1
48,0,0,Martin,Jamie,Jamie Martin,SF,QB,6-2,205,0000-00-00,Weber State,1
49,0,5,McNabb,Donovan,Donovan McNabb,MIN,QB,6-2,240,0000-00-00,Syracuse,1
50,0,8,O'Connell,Kevin,Kevin O'Connell,LAC,QB,6-5,225,1985-05-25,San Diego State,1
51,0,13,O'Sullivan,J.T.,J.T. O'Sullivan,OAK,QB,6-2,232,0000-00-00,California-Davis,1
52,0,0,Orton,Kyle,Kyle Orton,BUF,QB,6-4,228,1982-11-14,Purdue,1
53,0,0,Otis,Jeff,Jeff Otis,LAR,QB,6-2,208,0000-00-00,Columbia,1
54,0,4,Palko,Tyler,Tyler Palko,KC,QB,6-1,215,0000-00-00,Pittsburgh,1
